ID,파일명,대주제,불공정 약관 원문,시정 요청 사유,근거 조항(약관법),수정 후 약관 조항
,,,,,,
v-410,AI_Generated_Data,일반원칙,"회사는 시장 상황에 따라 언제든지 서비스 이용료를 인상할 수 있으며, 고객은 인상된 요금에 이의를 제기할 수 없다.","고객에게 일방적이고 부당하게 불리한 이용료 인상 결정권을 사업자에게만 부여하여, 고객의 계약상 권리를 침해함.",약관법 제6조 제2항 제1호,"회사는 서비스 이용료를 인상할 경우 최소 30일 전까지 고객에게 통지해야 하며, 고객은 인상에 동의하지 않을 경우 계약을 해지할 수 있다."
v-411,AI_Generated_Data,일반원칙,"고객이 계약 기간 도중에 해지할 경우, 잔여 기간 이용료 전액을 위약금으로 회사에 납부해야 한다.",법률이나 고시에서 정한 위약금 기준을 초과하여 고객에게 과도한 위약금 부담을 강제하여 부당하게 불리함.,약관법 제6조 제2항 제1호,"고객이 계약을 해지할 경우, 회사는 소비자분쟁해결기준에 따른 위약금(총 대금의 일정 비율)과 해지일까지의 이용료를 공제한 잔액을 환불한다."
v-412,AI_Generated_Data,일반원칙,"천재지변, 정부 명령 등 불가항력적인 사유가 발생하면 회사는 서비스를 즉시 중단할 수 있으며, 고객이 입은 손해에 대해서는 일절 배상하지 않는다.",불가항력 사유를 지나치게 광범위하게 해석하여 사업자의 면책 범위를 확대하고 고객에게 부당하게 불리함.,약관법 제6조 제2항 제1호,"회사는 불가항력적인 사유로 서비스 제공이 불가능할 경우 즉시 통지하고, 고객은 잔여 이용료의 환불을 요청할 수 있다."
v-413,AI_Generated_Data,일반원칙,"고객은 본인 인증 및 신원 확인에 필요한 모든 서류를 회사가 요구하는 즉시 제출해야 하며, 미제출 시 서비스 이용에 제한을 받을 수 있다.",신원 확인에 필요한 범위를 넘어 과도한 서류 제출 의무를 고객에게 부과하여 고객의 사생활의 비밀과 자유를 침해함.,약관법 제6조 제2항 제1호,"회사는 법률이 정하는 범위 내에서만 신원 확인에 필요한 최소한의 서류를 요구할 수 있으며, 고객의 개인정보는 안전하게 보호되어야 한다."
v-414,AI_Generated_Data,일반원칙,"약관의 내용이 고객과 관계 법령의 규정과 상충되는 경우, 약관의 규정을 우선하여 적용한다.","관계 법령이 고객에게 유리한 경우에도 약관이 우선한다고 규정하여, 법률이 보장하는 고객의 권리를 배제함.",약관법 제6조 제2항 제1호,"약관의 내용이 관계 법령의 규정과 상충될 경우, 관계 법령이 우선하여 적용된다."
v-415,AI_Generated_Data,일반원칙,"고객이 회사에게 손해배상을 청구할 경우, 회사의 배상액은 고객이 지난 3개월 동안 지급한 이용료 총액을 초과할 수 없다.","손해배상액을 터무니없이 낮은 금액으로 한정하여, 고객이 입을 수 있는 실제 손해를 제대로 보전받지 못하게 하여 부당함.",약관법 제6조 제2항 제1호,"회사의 귀책사유로 고객에게 손해가 발생한 경우, 회사는 관련 법령 및 민법에 따라 그 손해를 배상해야 한다."
v-416,AI_Generated_Data,일반원칙,"고객은 본 서비스를 상업적인 목적이나 재판매 목적으로 이용할 수 없으며, 위반 시 즉시 계약이 해지된다.",고객의 상업적 이용 또는 재판매가 사업자에게 실질적인 피해를 주지 않음에도 불구하고 일체의 행위를 금지하여 고객의 재산권을 과도하게 제한함.,약관법 제6조 제2항 제1호,고객의 상업적 이용 및 재판매 행위가 서비스 시스템에 중대한 장애를 일으키거나 불법적인 행위에 이용될 경우에 한하여 이용을 제한할 수 있다.
v-417,AI_Generated_Data,일반원칙,고객이 서비스를 이용하는 과정에서 발생하는 모든 법적 문제 및 손해에 대한 최종 책임은 고객에게 있다.,사업자가 마땅히 져야 할 서비스 관리 및 제공상의 책임을 모두 고객에게 전가하여 부당하게 불리함.,약관법 제6조 제2항 제1호,"서비스 이용 중 발생하는 문제에 대한 책임은 귀책 사유에 따라 회사와 고객이 부담하며, 회사의 귀책사유가 있을 경우 회사가 책임진다."
v-418,AI_Generated_Data,일반원칙,"고객은 서비스 관련 불만이 있을 경우 반드시 서면으로만 이의를 제기해야 하며, 회사가 지정한 양식을 사용하지 않으면 이의 제기는 무효로 한다.",이의 제기 방법을 서면 및 특정 양식으로 제한하여 고객의 권리 행사를 어렵게 만들고 부당하게 불리함.,약관법 제6조 제2항 제1호,"고객은 서면, 전자우편, 전화 등 다양한 방법으로 이의를 제기할 수 있으며, 회사는 이를 신속하게 처리해야 한다."
v-419,AI_Generated_Data,일반원칙,"회사는 고객이 미풍양속을 저해하는 행위를 했다고 판단할 경우, 사전 통지 없이 이용 자격을 박탈할 수 있다.",미풍양속 저해'라는 불명확한 기준으로 고객의 서비스 이용 자격을 박탈할 수 있게 하여 사업자의 자의적인 판단을 허용함.,약관법 제6조 제2항 제1호,회사는 법령이나 본 약관에서 명시적으로 금지하는 행위를 고객이 했을 경우에 한하여 소명 기회를 제공한 후 이용을 제한할 수 있다.
v-420,AI_Generated_Data,일반원칙,고객은 서비스 가입과 동시에 회사가 계열사 및 제휴사 100여 곳에 개인정보를 제공하는 것에 포괄적으로 동의한 것으로 본다.,제3자 제공 대상을 구체적으로 명시하지 않고 포괄적인 동의를 강제하여 개인정보 자기결정권을 심각하게 침해함.,약관법 제6조 제2항 제1호,"회사가 고객의 개인정보를 제3자에게 제공할 경우, 제공 대상, 목적 및 항목을 명확히 밝히고 개별적인 동의를 받는다."
v-421,AI_Generated_Data,일반원칙,"고객이 계약을 해지할 경우, 환불 금액에서 총 계약금액의 30%를 일괄적으로 환불 수수료로 공제한다.",환불 수수료가 실제 회사에 발생한 손해를 훨씬 초과하여 고객에게 과도한 부담을 지우며 부당하게 불리함.,약관법 제6조 제2항 제1호,"고객이 계약을 해지할 경우, 회사는 실제 발생한 비용과 소비자분쟁해결기준에서 정한 합리적인 위약금만을 공제한 잔액을 환불해야 한다."
v-422,AI_Generated_Data,일반원칙,고객이 납부한 보증금 또는 예치금은 고객의 연체금액 및 기타 채무를 변제하는 데 회사가 자유롭게 사용할 수 있다.,보증금/예치금의 사용 목적과 범위를 지나치게 넓게 설정하여 고객의 재산권을 부당하게 침해함.,약관법 제6조 제2항 제1호,고객이 납부한 보증금 또는 예치금은 고객의 연체된 서비스 이용료 및 손해배상액으로만 제한적으로 사용할 수 있다.
v-423,AI_Generated_Data,일반원칙,고객은 계약 기간 중 알게 된 회사의 모든 정보를 영구적으로 비밀로 유지해야 한다.,"비밀유지 의무 기간을 '영구적'으로 설정하여 고객의 권리를 과도하게 제한하며, 합리적인 기간을 초과함.",약관법 제6조 제2항 제1호,고객은 계약 기간 중 알게 된 회사의 정보를 합리적인 기간(예: 계약 종료 후 3년) 동안 비밀로 유지할 의무를 진다.
v-424,AI_Generated_Data,일반원칙,"회사는 사전 통지 없이 서비스 점검 또는 유지 보수를 실시할 수 있으며, 이로 인해 서비스가 중단되어도 회사는 보상 책임이 없다.","사업자가 서비스를 유지하는 데 필요한 최소한의 통지 의무를 이행하지 않고, 고객의 손해에 대한 배상 책임을 일방적으로 면제함.",약관법 제6조 제2항 제1호,"회사가 서비스 점검 또는 유지 보수를 위해 서비스를 중단할 경우, 긴급한 경우를 제외하고 최소 12시간 전에 고객에게 통지해야 한다."
v-425,AI_Generated_Data,일반원칙,본 약관에 명시되지 않은 기타 제반 비용은 회사의 내부 정책에 따라 고객에게 청구될 수 있다.,고객이 예상하기 어려운 비용을 사업자의 내부 정책이라는 불분명한 기준으로 청구할 수 있게 하여 고객에게 부당하게 불리함.,약관법 제6조 제2항 제1호,"고객에게 청구되는 모든 비용은 본 약관 또는 별도의 명확한 요금 정책에 명시되어야 하며, 고객에게 사전에 고지되어야 한다."
v-426,AI_Generated_Data,일반원칙,"회사는 고객이 업로드한 콘텐츠가 제3자의 지적재산권을 침해하더라도 고객에게 이를 통지할 의무가 없으며, 책임도 지지 않는다.",서비스 제공자로서의 기본적인 관리 및 통지 의무를 회피하여 고객이 법적 분쟁에 휘말릴 위험을 증가시켜 부당함.,약관법 제6조 제2항 제1호,"회사는 고객이 업로드한 콘텐츠가 제3자의 지적재산권을 침해한다는 사실을 인지할 경우, 고객에게 즉시 통지하고 관련 조치를 취해야 한다."
v-427,AI_Generated_Data,일반원칙,고객은 회사의 사전 서면 동의 없이는 본 계약상 권리 및 의무를 제3자에게 양도할 수 없다.,합리적인 사유 없이 고객의 계약상 권리 양도 자유를 지나치게 제한하여 부당하게 불리함.,약관법 제6조 제2항 제1호,"고객은 합리적인 사유를 들어 계약상 권리 및 의무의 양도를 요청할 수 있으며, 회사는 부당한 이유 없이 이를 거절할 수 없다."
v-428,AI_Generated_Data,일반원칙,"고객이 변경된 약관에 동의하지 않을 경우, 회사는 고객에게 계약 해지의 선택권을 주지 않고 기존 약관으로 서비스 이용을 지속할 수 없게 한다.",약관 변경 시 고객의 해지권 행사를 막아 사실상 변경에 동의하도록 강제하여 부당하게 불리함.,약관법 제6조 제2항 제1호,"고객이 변경된 약관에 동의하지 않을 경우, 고객은 언제든지 계약을 해지할 수 있으며, 회사는 고객에게 해지 절차를 안내해야 한다."
v-429,AI_Generated_Data,일반원칙,"고객이 서비스 이용료 납부를 연체할 경우, 연체된 금액에 대해 연 40%의 지연 이자를 부과한다.",법정 최고 이자율(현행 연 20%)을 훨씬 초과하는 연체 이자율을 설정하여 고객에게 부당한 경제적 부담을 지움.,약관법 제6조 제2항 제1호,"고객이 이용료 납부를 연체할 경우, 연체된 금액에 대해서는 관련 법률에서 정하는 바에 따라 연체 이자(법정 최고 이자율 준수)를 부과한다."
,,,,,,
v-430,AI_Generated_Data,일반원칙,"고객이 계약을 해지하면 고객이 업로드한 모든 자료는 7일 이내에 복구 불가능하게 파기되며, 고객은 이에 이의를 제기할 수 없다.","일반적으로 계약 해지 후 자료 보관 기간이 30일 이상인데, 7일 이내라는 짧은 기간을 설정하여 고객이 자료 백업을 예상하거나 준비하기 어렵게 함.",약관법 제6조 제2항 제2호,"고객이 계약을 해지할 경우, 고객의 자료는 해지일로부터 30일 동안 보관되며, 그 이후 파기된다. 고객은 보관 기간 내에 자료를 백업해야 한다."
v-431,AI_Generated_Data,일반원칙,"유료 서비스 이용 시, 월간 데이터 전송량이 10GB를 초과할 경우 회사는 고객에게 사전 통지 없이 추가 요금을 부과할 수 있다.",서비스 계약 시 중요하게 고지되지 않은 숨겨진 이용 한도와 추가 요금 부과 조항은 고객이 예상하기 어려운 불리한 내용임.,약관법 제6조 제2항 제2호,"월간 데이터 전송 한도를 초과할 경우, 회사는 고객에게 사전에 통지하고 초과 이용에 대한 동의를 얻은 후 추가 요금을 부과해야 한다."
v-432,AI_Generated_Data,일반원칙,계약 체결 시 제공된 사은품(고가 전자제품)은 고객의 단순 변심으로 계약을 해지하더라도 현금 가치로 환산하여 회사에 반환해야 한다.,"사은품을 현물 반환이 아닌 현금 가치 반환을 강제하고, 금액 산정 기준이 불명확하여 고객에게 예상 밖의 경제적 부담을 지움.",약관법 제6조 제2항 제2호,"사은품은 원칙적으로 현물 상태로 반환해야 하며, 훼손 등으로 현물 반환이 불가능할 경우에만 객관적인 중고 시장 가격으로 산정하여 반환한다."
v-433,AI_Generated_Data,일반원칙,"본 계약과 관련한 모든 법적 분쟁에는 외국(해외 지점 소재지)의 법률을 적용하며, 고객은 이에 동의한다.",국내에서 체결하고 이행되는 계약에 대해 고객이 전혀 예상하지 못한 외국의 법률을 적용하도록 하여 고객의 법적 방어권을 침해함.,약관법 제6조 제2항 제2호,본 계약에 관하여 발생하는 분쟁에 대해서는 대한민국의 법률을 적용한다.
v-434,AI_Generated_Data,일반원칙,회사의 필요에 의해 변경된 약관은 고객에게 통지 없이 소급하여 적용될 수 있다.,약관 변경의 효력을 과거 시점으로 소급 적용하여 고객에게 예상치 못한 불이익을 발생시키므로 부당하게 불리함.,약관법 제6조 제2항 제2호,"변경된 약관은 그 적용일 이후에 체결 또는 갱신되는 계약에 적용되며, 기존 계약의 고객에게는 변경된 약관의 적용일 이후부터 적용된다."
v-435,AI_Generated_Data,일반원칙,"고객은 서비스 이용료를 회사가 지정한 특정 제3의 결제 시스템을 통해서만 납부해야 하며, 다른 결제 수단은 인정되지 않는다.","일반적인 결제 수단(카드, 계좌 이체 등)을 배제하고 특정 시스템만 강제하여 고객의 선택권과 거래 편의를 과도하게 제한함.",약관법 제6조 제2항 제2호,"고객은 신용카드, 계좌 이체 등 회사가 제공하는 다양한 결제 수단을 선택하여 이용료를 납부할 수 있다."
v-436,AI_Generated_Data,일반원칙,"고객이 3개월 이상 서비스를 이용하지 않을 경우, 고객이 예치한 보증금 전액은 회사에 자동으로 귀속되며 고객에게 반환되지 않는다.","보증금의 귀속 요건을 고객의 단순 미이용으로 설정하여 고객의 재산권을 부당하게 박탈하고, 예상치 못한 손해를 입힘.",약관법 제6조 제2항 제2호,"고객이 장기간 서비스를 이용하지 않을 경우, 회사는 고객에게 사전 통지해야 하며, 보증금은 연체료 등 채무를 공제한 후 고객에게 반환된다."
v-437,AI_Generated_Data,일반원칙,"고객은 본 약관 및 회사의 모든 내부 규정 및 지침을 준수할 의무가 있으며, 위반 시 계약이 해지된다.",약관에 명시되지 않아 고객이 알 수 없는 내부 규정까지 준수 의무를 부과하여 고객의 의무 범위를 예상할 수 없게 함.,약관법 제6조 제2항 제2호,고객은 본 약관 및 회사가 고객에게 명시적으로 공지한 서비스 이용 지침을 준수할 의무를 진다.
v-438,AI_Generated_Data,일반원칙,"회사의 귀책사유가 아닌 사유로 서비스가 중단될 경우, 회사는 서비스 중단 후 48시간 이내에 고객에게 통지한다.","서비스 중단 전에 통지하는 것이 일반적이나, 중단 후에 통지하여 고객이 대비할 수 없게 하여 예상치 못한 불편을 초래함.",약관법 제6조 제2항 제2호,회사는 서비스 중단 사유를 인지하는 즉시 또는 중단이 예상되는 시점에 고객에게 지체 없이 통지해야 한다.
v-439,AI_Generated_Data,일반원칙,"고객은 서비스 제공 개시일 3개월 전에 이용료를 선납해야 하며, 미납 시 계약은 즉시 취소된다.",서비스 이용에 대한 대금 지급 시기를 통상적인 시기(이용 시작 직전 또는 후)보다 지나치게 앞당겨 고객에게 예상치 못한 자금 부담을 지움.,약관법 제6조 제2항 제2호,"고객은 서비스 제공 개시일 전까지 이용료를 납부해야 하며, 미납 시에는 일정 기간의 유예 기간을 두어 납부를 독촉해야 한다."
v-440,AI_Generated_Data,일반원칙,"본 약관에 따른 분쟁은 회사가 지정한 임의의 중재 기관에서 최종적으로 해결하며, 법원 제소는 허용되지 않는다.","고객의 소송 제기 권리를 배제하고, 사업자가 일방적으로 지정한 곳에서만 분쟁을 해결하도록 강제하여 예상치 못한 제약을 가함.",약관법 제6조 제2항 제2호,"본 계약에 관한 분쟁은 민사소송법상의 관할 법원에 제소할 수 있으며, 당사자 간의 합의에 따라 법원에 소송을 제기하기 전에 중재를 신청할 수 있다."
v-441,AI_Generated_Data,일반원칙,"고객이 비밀번호를 분실하거나 도난당하여 발생한 모든 손해는 고객이 전적으로 책임지며, 회사는 일절 책임지지 않는다.",비밀번호 관리에 대한 사업자(시스템 관리자)의 기본적인 주의 의무까지 면제하고 모든 책임을 고객에게 전가하여 부당함.,약관법 제6조 제2항 제2호,"회사는 시스템 관리자로서의 합리적인 주의 의무를 다해야 하며, 회사의 과실 없이 고객의 비밀번호 관리 소홀로 발생한 손해에 대해서는 고객이 책임을 진다."
v-442,AI_Generated_Data,일반원칙,"고객이 주문한 상품이 품절 또는 단종될 경우, 회사는 다른 유사 상품으로 대체하여 배송하며, 고객은 이에 동의한 것으로 간주한다.",고객의 동의 없이 일방적으로 주문 상품을 예상치 못한 다른 상품으로 대체하여 고객의 구매 결정권을 침해함.,약관법 제6조 제2항 제2호,"주문 상품이 품절 또는 단종될 경우, 회사는 고객에게 즉시 통지하고 고객의 동의를 얻어 다른 상품으로 대체하거나 주문을 취소하고 환불해야 한다."
v-443,AI_Generated_Data,일반원칙,"고객은 서비스 이용 중 업로드한 자료를 회사가 제3자에게 유상으로 제공하는 것에 동의하며, 별도 수익 분배는 없다.","고객이 예상하지 못한 방식으로 자료를 제3자에게 상업적으로 이용하도록 허락하는 조항을 숨겨, 고객의 권리를 박탈함.",약관법 제6조 제2항 제2호,"회사가 고객의 자료를 제3자에게 유상으로 제공할 경우, 고객에게 명확히 고지하고 별도의 동의를 얻어야 하며, 수익 분배는 관련 법규 및 합의에 따른다."
v-444,AI_Generated_Data,일반원칙,"계약 해제 시 고객은 원본 계약서와 모든 부속 서류를 즉시 회사로 반환해야 하며, 미반환 시 위약금이 발생한다.",계약 해제 시 고객에게 계약서 반환 의무를 즉시 강제하여 고객의 권리 증명 및 방어를 위한 계약서 보관 권리를 부당하게 제한함.,약관법 제6조 제2항 제2호,"계약 해제 후 고객은 계약서 사본을 보관할 수 있으며, 원본 반환은 당사자 간의 협의에 따른다."
v-445,AI_Generated_Data,일반원칙,"회사는 모든 고객의 서비스 이용 시간을 평일 오전 9시부터 오후 6시까지로 제한하며, 그 외 시간 이용은 불가능하다.","24시간 이용이 일반적인 온라인 서비스임에도 불구하고, 이용 시간을 통상적이지 않게 제한하여 고객에게 예상치 못한 불이익을 줌.",약관법 제6조 제2항 제2호,"서비스는 24시간 연중무휴로 제공되는 것을 원칙으로 하며, 시스템 점검 등 불가피한 경우에 한하여 이용 시간을 제한할 수 있다."
v-446,AI_Generated_Data,일반원칙,"고객은 본 약관의 내용을 모두 숙지하고 동의한 것으로 간주되며, 약관 미숙지로 인한 모든 불이익은 고객의 책임이다.","약관의 모든 내용을 숙지한다는 과도한 의무를 부과하여, 고객이 예상할 수 없는 불이익까지 책임지도록 전가함.",약관법 제6조 제2항 제2호,"회사는 약관의 중요한 내용을 고객이 이해하기 쉽도록 설명해야 하며, 고객은 약관의 내용을 성실히 이해하고 계약을 체결해야 한다."
v-447,AI_Generated_Data,일반원칙,"고객은 매월 회사가 지정한 특정 활동에 1회 이상 참여해야 서비스 이용 자격이 유지되며, 미참여 시 자동 해지된다.",서비스 이용 자격 유지에 대한 예상치 못한 조건(특정 활동 참여)을 부과하여 고객의 계약 지속 권리를 부당하게 제한함.,약관법 제6조 제2항 제2호,"서비스 이용 자격은 고객이 이용료를 납부하고 약관을 준수하는 한 유지되며, 회사는 특정 활동 참여를 강제할 수 없다."
v-448,AI_Generated_Data,일반원칙,고객에게 제공되는 모든 할인 혜택은 회사가 임의로 정하는 특수한 경우에 한하여 적용이 배제될 수 있다.,할인 적용의 배제 사유를 불명확하고 임의적인 '특수한 경우'로 규정하여 고객이 예상치 못한 시점에 혜택을 받지 못하게 함.,약관법 제6조 제2항 제2호,"회사가 고객에게 제공한 할인 혜택은 명확히 규정된(예: 연체, 해지) 사유가 발생하지 않는 한 적용되어야 한다."
v-449,AI_Generated_Data,일반원칙,"고객이 이용료를 미납할 경우, 회사는 고객에게 지급해야 할 미지급금(예: 배당금, 포인트) 전액을 상계 처리할 수 있다.",고객에게 지급해야 할 미지급금과 미납금을 상계 처리하는 것을 고객의 사전 동의 없이 일방적으로 규정하여 예상치 못한 손해를 입힘.,약관법 제6조 제2항 제2호,"고객이 이용료를 미납할 경우, 회사는 고객에게 통지 후 미납 금액을 한도로 미지급금과 상계할 수 있다."
,,,,,,
v-450,AI_Generated_Data,일반원칙,"유료 구독 서비스 가입 후에도 회사는 언제든지 서비스의 핵심 기능(데이터 무제한 이용, 프리미엄 콘텐츠)을 제외하거나 유료화할 수 있으며, 환불은 불가하다.",고객이 유료로 계약한 서비스의 본질적 내용(핵심 기능)을 사업자가 임의로 변경하여 계약 목적 달성을 불가능하게 함.,약관법 제6조 제2항 제3호,"회사는 고객에게 중대한 불이익을 주는 서비스 핵심 기능을 임의로 변경할 수 없으며, 변경이 불가피할 경우 고객에게 해지 및 전액 환불 선택권을 제공해야 한다."
v-451,AI_Generated_Data,일반원칙,"고객이 강의를 수강하는 도중이라도 회사는 고객의 이용 행위가 일반적이지 않다고 판단할 경우, 잔여 기간에 대한 환불 없이 수강권을 일방적으로 박탈할 수 있다.",정당한 대가를 지불하고 강의를 듣는 고객의 가장 본질적인 권리(수강권)를 불명확하고 자의적인 사유로 제한하여 계약 목적을 달성할 수 없게 함.,약관법 제6조 제2항 제3호,"회사는 법령이나 약관에서 명시적으로 금지한 행위를 고객이 한 경우에 한하여 1회 이상 경고 후 수강권을 제한할 수 있으며, 이때 잔여 대금은 환불해야 한다."
v-452,AI_Generated_Data,일반원칙,"고객은 회원권을 구매했으나, 가장 이용이 많은 오후 6시부터 9시까지는 회사의 사정으로 이용이 불가능할 수 있으며, 이는 회원권의 효력에 영향을 미치지 않는다.",비용을 지불하고 헬스장을 이용하는 주된 목적(편리한 시간대 이용)을 일방적으로 제한하여 계약의 실질적인 목적 달성을 방해함.,약관법 제6조 제2항 제3호,"회사는 서비스 이용이 불가능한 시간을 최소화해야 하며, 고객이 주로 이용하는 시간대의 사용이 3일 이상 불가능할 경우 이용료 감면 또는 기간 연장 등의 조치를 제공한다."
v-453,AI_Generated_Data,일반원칙,"고객이 '익일 특급 배송'을 신청하고 비용을 지불했더라도, 회사는 배송 기한 준수에 대한 일체의 책임을 지지 않으며, 지연으로 인한 손해를 배상하지 않는다.",고객이 추가 비용을 지불하며 계약한 본질적인 목적(신속한 배송)을 회사가 전혀 보장하지 않아 계약의 목적을 무력화함.,약관법 제6조 제2항 제3호,"회사의 귀책사유로 익일 특급 배송이 지연될 경우, 회사는 추가 배송료를 환불하고 고객에게 발생한 합리적인 손해를 배상한다."
v-454,AI_Generated_Data,일반원칙,고객이 유료로 구매한 클라우드 저장 공간을 회사가 서비스 개편을 이유로 사전 동의 없이 50% 이상 축소할 수 있다.,계약의 핵심인 '제공 용량'을 사업자가 임의로 축소하여 고객이 계약 당시 기대한 본질적인 급부를 제한함.,약관법 제6조 제2항 제3호,"회사는 고객에게 중대한 불이익이 되는 저장 용량을 임의로 축소할 수 없으며, 불가피한 경우 고객의 동의를 얻거나 그에 상응하는 보상을 제공해야 한다."
v-455,AI_Generated_Data,일반원칙,"임차인은 계약된 용도(주거용) 외의 목적으로는 사용할 수 없으며, 임대인은 언제든지 임차인의 동의 없이 건물의 일부를 리모델링하여 용도를 변경할 수 있다.",임차인이 점유·사용할 권리(본질적 권리)와 계약된 용도를 임대인이 임의로 변경하여 임차인의 계약 목적 달성을 심각하게 방해함.,약관법 제6조 제2항 제3호,"임대인이 건물의 용도를 변경할 필요가 있을 경우 임차인의 동의를 얻어야 하며, 동의가 없을 경우 임차인은 계약 해지 및 손해배상을 청구할 수 있다."
v-456,AI_Generated_Data,일반원칙,"고객이 영구 라이선스를 구매했더라도, 회사는 경영상 이유로 통지 후 1개월이 경과하면 해당 소프트웨어의 사용을 영구적으로 중단할 수 있다.",영구적인 사용 권한(라이선스)을 핵심으로 하는 계약에서 사업자가 일방적으로 사용을 중단시켜 고객의 본질적 권리를 박탈함.,약관법 제6조 제2항 제3호,"회사는 영구 라이선스에 대한 사용 권한을 임의로 중단할 수 없으며, 서비스 종료 시점에는 고객에게 충분한 기간(예: 6개월)의 유예와 함께 전액 환불해야 한다."
v-457,AI_Generated_Data,일반원칙,"고객이 예약금을 지불하고 확정된 예약 건도, 회사의 내부 사정으로 당일 일방적으로 취소할 수 있으며, 예약금의 2배 외의 손해는 배상하지 않는다.","예약의 확정(계약의 목적)을 사업자가 임의로 무력화하고, 고객에게 발생한 부수적 손해(교통비, 시간 낭비)에 대한 배상을 제한함.",약관법 제6조 제2항 제3호,"회사의 귀책사유로 예약을 취소할 경우, 회사는 예약금의 배액을 환불하고, 고객이 입증하는 추가 손해를 배상해야 한다."
v-458,AI_Generated_Data,일반원칙,"제품 구매 시 명시된 A/S 기간(2년)은 회사의 재량에 따라 사전 통지 없이 6개월로 단축될 수 있으며, 고객은 이에 동의해야 한다.",제품 구매 후 고객이 기대하는 본질적 권리(A/S 보장 기간)를 사업자가 임의로 대폭 단축하여 계약 목적 달성을 어렵게 함.,약관법 제6조 제2항 제3호,"제품 구매 시 명시된 A/S 기간은 고객의 동의 없이는 단축될 수 없으며, 이는 계약 기간 동안 유효하다."
v-459,AI_Generated_Data,일반원칙,"고객이 서비스 이용을 위해 예치한 예치금은 오직 회사가 정한 특정 제휴사 서비스에만 사용할 수 있으며, 환불은 불가능하다.",고객이 현금 대용으로 예치한 금원의 사용 범위를 과도하게 제한하여 고객의 재산권(예치금 사용 자유)을 본질적으로 침해함.,약관법 제6조 제2항 제3호,"고객이 예치한 예치금은 서비스 내 모든 유료 콘텐츠에 사용할 수 있으며, 고객의 요청 시 현금으로 환불해야 한다."
v-460,AI_Generated_Data,일반원칙,이벤트 당첨자에게 지급되는 경품은 회사가 경영상 필요하다고 판단하면 언제든지 취소하거나 다른 상품으로 대체할 수 있다.,고객이 이벤트 참여를 통해 얻은 본질적 권리(경품 수령 권한)를 사업자가 임의적이고 불명확한 사유로 취소하여 계약의 목적을 훼손함.,약관법 제6조 제2항 제3호,"회사는 이벤트 경품을 고객 동의 없이 임의로 취소하거나 대체할 수 없으며, 경품 지급이 불가피한 경우 고객에게 동등하거나 그 이상의 가치를 지닌 경품을 제공해야 한다."
v-461,AI_Generated_Data,일반원칙,"회사가 제시한 투자 수익률은 고객의 이해를 돕기 위한 참고 자료일 뿐, 회사는 수익 발생에 대해 일절 보장하지 않는다.",투자 계약의 본질적인 목적(수익 추구)에 대해 사업자가 최소한의 합리적인 노력 의무 없이 책임을 전면 부인함.,약관법 제6조 제2항 제3호,"투자 상품의 수익률은 시장 상황에 따라 변동될 수 있으나, 회사는 고객에게 제시한 수익률 목표를 달성하기 위해 선량한 관리자로서의 주의 의무를 다해야 한다."
v-462,AI_Generated_Data,일반원칙,"통신 서비스 제공 과정에서 발생하는 통화 불량 및 끊김 현상에 대해 회사는 일절 책임지지 않으며, 통화 불량으로 인한 요금 감면은 없다.",통신 계약의 본질적 목적(원활한 통화)을 사업자가 보장하지 않아 계약 목적 달성을 어렵게 함.,약관법 제6조 제2항 제3호,"회사는 통신 서비스의 안정적인 품질 유지를 위해 최선을 다해야 하며, 회사의 귀책사유로 인한 통화 불량 및 중단에 대해서는 약관에 따라 요금을 감면한다."
v-463,AI_Generated_Data,일반원칙,"유료 교육 프로그램을 모두 이수한 고객이라도, 회사의 내부 규정에 따라 증명서 발급이 거부될 수 있다.",교육 프로그램 이수의 최종 목적(증명서 발급)을 사업자가 자의적으로 거부하여 고객의 노력과 계약 목적을 무력화함.,약관법 제6조 제2항 제3호,"고객이 교육 프로그램을 모두 이수한 경우, 회사는 특별한 사유(부정행위 등)가 없는 한 이수 증명서를 발급해야 한다."
v-464,AI_Generated_Data,일반원칙,고객이 획득한 포인트나 마일리지는 회사의 경영 판단에 따라 사전 통지 없이 언제든지 소멸될 수 있다.,고객이 서비스 이용의 대가로 획득한 재산적 가치(포인트/마일리지)를 사업자가 일방적으로 소멸시켜 고객의 본질적 권리를 박탈함.,약관법 제6조 제2항 제3호,"고객의 포인트나 마일리지는 법령 및 본 약관이 정한 소멸시효 기간 내에만 유효하며, 회사는 소멸 예정일 30일 전까지 고객에게 통지해야 한다."
v-465,AI_Generated_Data,일반원칙,"고객에게 제공된 쿠폰은 매일 오후 1시부터 3시까지만 사용 가능하며, 다른 시간대 사용은 제한된다.","고객에게 제공된 혜택(쿠폰)의 사용 가능 시간을 통상적이지 않게 제한하여, 쿠폰을 제공받는 계약의 목적을 무력화함.",약관법 제6조 제2항 제3호,"쿠폰의 사용 시간 제한은 합리적인 범위 내에서 이루어져야 하며, 고객에게 명확히 고지되어야 한다."
